Problem,Status,User time,Failure,Version,Preprocessing time,...number of literals in the above,...of the previous two non-trivial,...of these trivial,...remaining for further processing,...subsumed,BW rewrite match attempts,BW rewrite match successes,Backward-rewritten,Backward-subsumed,Clause-clause subsumption calls (NU),Clauses deleted for lack of memory,Condensation attempts,Condensation successes,Contextual simplify-reflections,Current number of archived clauses,Current number of archived formulas,Current number of processed clauses,Current number of unprocessed clauses,Equation resolutions,Factorizations,Generated clauses,Initial clauses,Initial clauses in saturation,Maximum resident set size,Negative unit clauses,Non-unit clause-clause subsumptions,Non-unit-clauses,Other redundant clauses eliminated,Paramodulations,Parsed axioms,Positive orientable unit clauses,Positive unorientable unit clauses,Processed clauses,Proof object clause conjectures,Proof object clause steps,Proof object conjectures,Proof object formula conjectures,Proof object formula steps,Proof object generating inferences,Proof object given clauses,Proof object initial clauses used,Proof object initial formulas used,Proof object simplifying inferences,Proof object total steps,Proof search given clauses,Rec. Clause-clause subsumption calls,Removed by relevancy pruning/SinE,Removed in clause preprocessing,Rewrite failures with RHS unbound,System time,Total time,Unit Clause-clause subsumption calls,Filename,Heuristic,Type,Equational
#./eprover,--definitional-cnf=24,-s,--print-statistics,-R,--print-version,--tstp-format,-s,--record-gcs,--simul-paramod,--forward-context-sr,--strong-destructive-er,--destructive-er-aggressive,--destructive-er,-tKBO6,-winvfreqrank,-c1,-Ginvfreq,-F1,-WSelectMaxLComplexAvoidPosPred,-H(1.FIFOWeight(ConstPrio)),--cpu-limit=300,/export/starexec/sandbox/benchmark/theBenchmark.p
#1,Problem
#2,Status
#3,User,time
#4,Failure
#5,Version
#6,Preprocessing,time
#7,...number,of,literals,in,the,above
#8,...of,the,previous,two,non-trivial
#9,...of,these,trivial
#10,...remaining,for,further,processing
#11,...subsumed
#12,BW,rewrite,match,attempts
#13,BW,rewrite,match,successes
#14,Backward-rewritten
#15,Backward-subsumed
#16,Clause-clause,subsumption,calls,(NU)
#17,Clauses,deleted,for,lack,of,memory
#20,Contextual,simplify-reflections
#21,Current,number,of,archived,clauses
#22,Current,number,of,archived,formulas
#23,Current,number,of,processed,clauses
#24,Current,number,of,unprocessed,clauses
#25,Equation,resolutions
#26,Factorizations
#27,Generated,clauses
#28,Initial,clauses
#29,Initial,clauses,in,saturation
#30,Maximum,resident,set,size
#31,Negative,unit,clauses
#32,Non-unit,clause-clause,subsumptions
#33,Non-unit-clauses
#34,Other,redundant,clauses,eliminated
#35,Paramodulations
#36,Parsed,axioms
#37,Positive,orientable,unit,clauses
#38,Positive,unorientable,unit,clauses
#39,Processed,clauses
#40,Proof,object,clause,conjectures
#41,Proof,object,clause,steps
#42,Proof,object,conjectures
#43,Proof,object,formula,conjectures
#44,Proof,object,formula,steps
#45,Proof,object,generating,inferences
#46,Proof,object,given,clauses
#47,Proof,object,initial,clauses,used
#48,Proof,object,initial,formulas,used
#49,Proof,object,simplifying,inferences
#50,Proof,object,total,steps
#51,Proof,search,given,clauses
#52,Rec.,Clause-clause,subsumption,calls
#53,Removed,by,relevancy,pruning/SinE
