#X,f1,f2,f3,f4,f5,f6,f7,f8,f9,f10,f11,f12,f13,f14,f15,f16,f17,f18,f19,f20,f21,f22,f23,f24,f25,f26,f27,f28,f29,f30,f31
BOO012-3.p,1,34,35,87,359,1,16,1,34,3,1,0,1,0,16,1,0,2,1,5,3,1,H,U,S,M,G,2,1,M,M
BOO020-1.p,1,3,4,8,83,0,1,1,3,4,4,0,1,0,1,1,0,2,1,3,5,2,H,H,P,F,G,2,1,S,M
KLE044+2.p,1,17,18,23,159,0,13,1,17,13,11,0,1,0,13,1,0,2,1,5,4,2,H,H,S,M,G,2,1,M,M
LCL344-3.p,1,7,8,11,110,1,5,1,7,0,0,0,1,0,5,1,0,2,1,3,10,3,H,U,N,M,G,2,1,S,D
SCT016-1.p,35,977,1012,2113,40324,14,342,35,875,635,339,38,2,38,370,0.888889,0.102703,5,2,182,25,3,G,H,S,M,N,3,2,L,D
SCT025-1.p,33,702,735,1779,19308,14,156,33,581,353,122,22,1,22,182,0.858974,0.120879,5,3,219,10,3,G,H,S,M,N,3,3,L,D
SWB026+1.p,111,1053,1164,5198,21427,4,212,111,751,176,0,207,1,207,214,0.023585,0.96729,7,3,668,2,1,G,H,S,M,N,3,3,L,M
SWB044+1.p,111,1055,1166,5200,21435,4,214,111,753,176,0,209,1,209,216,0.023364,0.967593,7,3,668,2,1,G,H,S,M,N,3,3,L,M
SWB045+1.p,111,1050,1161,5195,21415,4,209,111,748,176,0,204,1,204,211,0.023923,0.966825,7,3,668,2,1,G,H,S,M,N,3,3,L,M
SWB046+1.p,111,1050,1161,5195,21415,4,209,111,748,176,0,204,1,204,211,0.023923,0.966825,7,3,668,2,1,G,H,S,M,N,3,3,L,M
CSR038+1.p,2,72,74,138,442,0,21,2,72,0,0,10,0,10,21,0.52381,0.47619,4,3,7,3,1,H,H,N,M,N,3,3,M,M
CSR048+1.p,3,38,41,86,230,2,4,3,38,0,0,4,0,4,4,0,1,0,0,0,1,1,H,H,N,F,N,0,0,S,M
CSR063+1.p,4,112,116,235,638,0,23,4,112,0,0,17,0,17,23,0.26087,0.73913,1,1,2,3,1,H,H,N,M,N,1,1,S,M
CSR068+1.p,2,55,57,110,301,1,14,2,55,0,0,11,1,11,14,0.214286,0.785714,1,1,1,2,1,H,H,N,S,N,1,1,S,M
CSR069+1.p,3,28,31,66,179,2,2,3,28,0,0,2,1,2,2,0,1,0,0,0,1,1,H,H,N,F,N,0,0,S,M
